Time,Forward Vector X,Forward Vector Y,Forward Vector Z
0,0,0,1
0.01999999,0,0,1
0.1071658,0,0,1
0.120777,0,0,1
0.1260259,0,0,1
0.1274116,0,0,1
0.1289251,0,0,1
0.1320377,0,0,1
0.1451321,0,0,1
0.148694,0,0,1
0.1521937,0,0,1
0.1563383,0,0,1
0.158336,0,0,1
0.1668225,0,0,1
0.168095,0,0,1
0.16929,0,0,1
0.1720006,0,0,1
0.1730899,0,0,1
0.1748713,0,0,1
0.1777984,0,0,1
0.1806412,0,0,1
0.1834773,0,0,1
0.1863857,0,0,1
0.1891052,0,0,1
0.1918996,0,0,1
0.1946845,0,0,1
0.1979303,0,0,1
0.2006288,0,0,1
0.2034005,0,0,1
0.2062159,0,0,1
0.208894,0,0,1
0.2120019,0,0,1
0.2148065,0,0,1
0.2175785,0,0,1
0.2201829,0,0,1
0.2231067,0,0,1
0.2259924,0,0,1
0.2288895,0,0,1
0.2316989,0,0,1
0.2345143,0,0,1
0.2372831,0,0,1
0.2400826,0,0,1
0.242879,0,0,1
0.2455892,0,0,1
0.2489621,0,0,1
0.2515035,0,0,1
0.2541803,0,0,1
0.257096,0,0,1
0.2597852,0,0,1
0.2625352,0,0,1
0.2656866,0,0,1
0.2685943,0,0,1
0.2713837,0,0,1
0.273992,0,0,1
0.276771,0,0,1
0.2796399,0,0,1
0.2824862,0,0,1
0.2855949,0,0,1
0.2881832,0,0,1
0.2909,0,0,1
0.2938816,0,0,1
0.296813,0,0,1
0.2997021,0,0,1
0.3025249,0,0,1
0.3054975,0,0,1
0.3081868,0,0,1
0.3108546,0,0,1
0.3207296,0,0,1
0.322419,0,0,1
0.3238029,0,0,1
0.324991,0,0,1
0.3261849,0,0,1
0.3281842,0,0,1
0.3311009,0,0,1
0.3337887,0,0,1
0.3365846,0,0,1
0.3397939,0,0,1
0.3423025,0,0,1
0.3449797,0,0,1
0.3482241,0,0,1
0.3508829,0,0,1
0.3537064,0,0,1
0.3564867,0,0,1
0.3592905,0,0,1
0.3622397,0,0,1
0.365203,0,0,1
0.3680029,0,0,1
0.3707916,0,0,1
0.373594,0,0,1
0.3764125,0,0,1
0.3792095,0,0,1
0.3822935,0,0,1
0.3849859,0,0,1
0.3879023,0,0,1
0.3905846,0,0,1
0.3933895,0,0,1
0.3963962,0,0,1
0.3993102,0,0,1
0.4021946,0,0,1
0.4049088,0,0,1
0.4079143,0,0,1
0.4107169,0,0,1
0.4135498,0,0,1
0.4164864,0,0,1
0.4193018,0,0,1
0.4220123,0,0,1
0.4247994,0,0,1
0.4276879,0,0,1
0.4305819,0,0,1
0.4333992,0,0,1
0.4361887,0,0,1
0.4389803,0,0,1
0.4417877,0,0,1
0.4446089,0,0,1
0.4477515,0,0,1
0.4504848,0,0,1
0.4531871,0,0,1
0.4561092,0,0,1
0.4589151,0,0,1
0.4621214,0,0,1
0.4724797,0,0,1
0.4740073,0,0,1
0.4754151,0,0,1
0.4769163,0,0,1
0.4784135,0,0,1
0.4798349,0,0,1
0.4818994,0,0,1
0.4845189,0,0,1
0.4872947,0,0,1
0.4904034,0,0,1
0.4932019,0,0,1
0.4962227,0,0,1
0.4992087,0,0,1
0.5017958,0,0,1
0.5045905,0,0,1
0.5076245,0,0,1
0.5102919,0,0,1
0.5131843,0,0,1
0.5161974,0,0,1
0.5189092,0,0,1
0.5216948,0,0,1
0.5245993,0,0,1
0.5275,0,0,1
0.5303886,0,0,1
0.5333993,0,0,1
0.5361953,0,0,1
0.5390044,0,0,1
0.5418183,0,0,1
0.544599,0,0,1
0.5476308,0,0,1
0.5504009,0,0,1
0.5533242,0,0,1
0.5558928,0,0,1
0.5588022,0,0,1
0.561496,0,0,1
0.5647194,0,0,1
0.5674024,0,0,1
0.5703198,0,0,1
0.5734195,0,0,1
0.5761365,0,0,1
0.5791525,0,0,1
0.581809,0,0,1
0.584811,0,0,1
0.5875273,0,0,1
0.5902057,0,0,1
0.5928882,0,0,1
0.5958695,0,0,1
0.5992321,0,0,1
0.6020144,0,0,1
0.604726,0,0,1
0.6077281,0,0,1
0.6105823,0,0,1
0.6134523,0,0,1
0.6232678,0,0,1
0.6250216,0,0,1
0.6265166,0,0,1
0.6278943,0,0,1
0.6293034,0,0,1
0.6305863,0,0,1
0.6331019,0,0,1
0.6359199,0,0,1
0.6389015,0,0,1
0.6415989,0,0,1
0.6443959,0,0,1
0.647251,0,0,1
0.6501889,0,0,1
0.6529768,0,0,1
0.6557935,0,0,1
0.6585,0,0,1
0.6614852,0,0,1
0.6645392,0,0,1
0.6673742,0,0,1
0.6700889,0,0,1
0.672995,0,0,1
0.675791,0,0,1
0.6784689,0,0,1
0.6816641,0,0,1
0.684478,0,0,1
0.6872804,0,0,1
0.6900981,0,0,1
0.6928963,0,0,1
0.6958883,0,0,1
0.6987801,0,0,1
0.7017823,0,0,1
0.7045141,0,0,1
0.7072853,0,0,1
0.7104896,0,0,1
0.713873,0,0,1
0.7159516,0,0,1
0.718886,0,0,1
0.7215734,0,0,1
0.724474,0,0,1
0.7271857,0,0,1
0.7303255,0,0,1
0.7332094,0,0,1
0.7360035,0,0,1
0.7389254,0,0,1
0.7416879,0,0,1
0.7444853,0,0,1
0.7474811,0,0,1
0.7503021,0,0,1
0.7531911,0,0,1
0.7559928,0,0,1
0.7587841,0,0,1
0.7616035,0,0,1
0.7649322,0,0,1
0.7733333,0,0,1
0.7745129,0,0,1
0.7759911,0,0,1
0.7788855,0,0,1
0.7798896,0,0,1
0.7821874,0,0,1
0.7848923,0,0,1
0.7877886,0,0,1
0.7905966,0,0,1
0.7939065,0,0,1
0.7964857,0,0,1
0.799273,0,0,1
0.8021981,0,0,1
0.8053941,0,0,1
0.8082269,0,0,1
0.8111202,0,0,1
0.8143009,0,0,1
0.8169736,0,0,1
0.8198037,0,0,1
0.82269,0,0,1
0.8254887,0,0,1
0.8284941,0,0,1
0.8314921,0,0,1
0.8342764,0,0,1
0.8372875,0,0,1
0.8402992,0,0,1
0.8429088,0,0,1
0.8457038,0,0,1
